product_category,brand,product_name,user_id,BIP_level,BIC_level,user_specs,rating,review_date,verified,review_color,review_color_img,review_title,review_content,no_helpful,no_not_helpful,recommendation
blush,NATASHA DENONA,Natasha Denona Bloom Blush & Glow Palette,AGMD,Rouge,Rookie,"['Eye Color Blue', 'Hair color Brunette', 'Skin Tone Fair', 'Skin Type Dry']",5 stars,14 d ago,yes,,,Still works with my fair skin!,"This is a great palette. I think natasha denona is more known for her eyeshadows which are great but she also does cheek palettes very well. I have very fair skin and this still works for me. The deeper shade I need just a dab for my whole cheeks. I usually prefer using the cream base and then the bottom right highlighter for blush on my skin type. If you have medium or deep skin you will love this palette.
…read more",0,0,Recommends this product
blush,NATASHA DENONA,Natasha Denona Bloom Blush & Glow Palette,4str4,Rouge,Rookie,"['Eye Color Brown', 'Hair color Black', 'Skin Tone Dark', 'Skin Type Normal']",5 stars,18 d ago,no,,,,"I love this palette, the deep cream blush is deceivingly sheer and delicate and the highlighters add a beautiful rose-gold shimmer you can amp up with a dusting of glow extreme.",1,0,Recommends this product
blush,NATASHA DENONA,Natasha Denona Bloom Blush & Glow Palette,azurakariaxe,Insider,Rookie,"['Eye Color Green', 'Hair color Blonde', 'Skin Tone Tan', 'Skin Type Oily']",5 stars,20 d ago,no,,,Glow seeker palette for sure the perfect mix.,"I absolutely love this color combo palette of the bloom blush and glow. The right amount of subtle sparkle and tone of color. I use it every day and look forward to the finished desired look I want to achieve. I feel very beautiful when I wear Denona's lightest pink shade high on my cheek bone , the whole palette is a win and I would recommend this palette to every glow look seeker. I even pulled off the red it was adventurous.
…read more",1,1,Recommends this product
blush,NATASHA DENONA,Natasha Denona Bloom Blush & Glow Palette,jngyn,Rouge,Rookie,"['Eye Color Brown', 'Hair color Black', 'Skin Tone Medium', 'Skin Type Combination']",5 stars,20 d ago,no,,,,Love love love! Layer all 4 together if you want a killer glow. I use the glow cream base regularly & I've hit pan. It creates a beautiful & natural flush of colour. The fuschia cream blush looks super intimidating when you first apply it but it blends out!! This is a staple cheek palette in my collection.,1,0,Recommends this product
blush,NATASHA DENONA,Natasha Denona Bloom Blush & Glow Palette,Saramoi,Rouge,Rookie,"['Eye Color Blue', 'Hair color Brunette', 'Skin Tone Fair', 'Skin Type Normal']",5 stars,2 May 2020,yes,,,Beautiful palette! Highly Recommend!,"I have to admit that I was initially intimidated by this palette. I am VERY fair, and this palette works for me! I use the tiniest amount of the cream blush, and it’s beautiful. It blends nicely. A little goes a long way. I can see it working for all skin tones because this cream blush is extremely pigmented. The two powders compliment the blush beautifully. It adds a peachy vibe. This is now the blush I use every day. I didn’t know blush could be like this! I have already ordered the other blush palette - the Love Palette. I can’t wait to try it!
…read more",1,0,Recommends this product
blush,NATASHA DENONA,Natasha Denona Bloom Blush & Glow Palette,Loroone,Rouge,Rookie,"['Eye Color Blue', 'Hair color Brunette', 'Skin Tone Light', 'Skin Type Dry']",5 stars,30 Apr 2020,yes,,,So worth it!,"One of those products I’ve looked at but never pulled the trigger bc “I have so many blushes already“...finally gave it a shot and so glad I did. It’s such a great color on my fair skin. It would look good on any shade though. Gives me a beautiful rosy cheek, stays, no breakouts (I usually don’t with new makeup), honestly, no complaints at all. I generally don’t go for a intense highlight and this doesn’t do that. It could, but with a light hand it’s perfect and easy. I for sure don’t need to buy any other blushes and in fact, might as well get rid of some now bc this is definitely my go-to. Big fan, this won’t be my last ND purchase
…read more",2,0,Recommends this product
blush,NATASHA DENONA,Natasha Denona Bloom Blush & Glow Palette,PrincessAriel01,Rouge,Rookie,"['Eye Color Hazel', 'Hair color Red', 'Skin Tone Light', 'Skin Type Combination']",5 stars,24 Apr 2020,no,,,,I ended up buying this product because I had seen a lot of people get it in a subscription box I use but unfortunately I didn’t get it and still wanted it so bad. Natasha Denona as a brand is by far one of my favorites! Her formulas for everything are just so creamy and blendable. This product is beautiful and so easy to blend are the colors are just perfect! Worth every penny!! Love love love this!!,1,0,Recommends this product
blush,NATASHA DENONA,Natasha Denona Bloom Blush & Glow Palette,lisimoomoo,Rouge,Rookie,"['Eye Color Brown', 'Hair color Auburn', 'Skin Tone Medium', 'Skin Type Combination']",5 stars,18 Apr 2020,no,,,,"The blush in this palette is absolutely freaking incredible. This may be top five purchases of 2019. I will try to go use another blush in my collection and find myself comparing it to this product. It looks mega dark, but it applies like a natural flush (of course you can build it up). The bottom right highlighter that’s like almost duo chrome is nice on application on the cheeks and even more gorgeous as a one swipe eyeshadow. I use the bottom left as of my favorite highlights. I love this palette!
…read more",2,0,Recommends this product
blush,NATASHA DENONA,Natasha Denona Bloom Blush & Glow Palette,Flaaffy,VIB,Rookie,"['Eye Color Brown', 'Hair color Brunette', 'Skin Tone Fair', 'Skin Type Normal']",5 stars,16 Apr 2020,no,,,,"I absolutely love this palette. The blush looks a little intense in pan but it thankfully it goes on relatively sheer and builds up very nicely. The cream highlight is very sheer but after topping it off with the powder blush and highlight, it is absolutely STUNNING. I may also purchase the one she just released for Valentine’s Day because I love this one so much. I will definitely repurchase when I get low.",2,0,Recommends this product
blush,NATASHA DENONA,Natasha Denona Bloom Blush & Glow Palette,sofia2200,Rouge,Rookie,"['Eye Color Brown', 'Hair color Brunette', 'Skin Tone Light', 'Skin Type Combination']",5 stars,11 Apr 2020,no,,,PERFECT SPRINGTIME BLUSH,"MY ALL TIME FAVORITE BLUSH! I tend to wear a lot of peachy toned blush and maybe too much of it. Someone recommended me this palette, and although expensive, I totally think it is worth it. The pigmentation is perfect and leaves a beautiful shimmering finish I don't even need to wear highlight. If you mix the bottom right shade with the two cream shades up top... the result is gorgeous! I totally recommend mixing them together!
…read more",2,0,Recommends this product
