product_category,brand,product_name,user_id,BIP_level,BIC_level,user_specs,rating,review_date,verified,review_color,review_color_img,review_title,review_content,no_helpful,no_not_helpful,recommendation
blush,NUDESTIX,NUDESTIX Gel Color Lip + Cheek Balm,kikamoka,VIB,Rookie,"['Eye Color Brown', 'Hair color Black', 'Skin Tone Fair', 'Skin Type Combination']",5 stars,30 Apr 2020,no,Color: Haven,https://www.sephora.com/productimages/sku/s1825967+sw.jpg,Best in Nudestix,Best formula in Nudestix！So comfortable and it glides on my lips smoothly，even when they‘re dry. I also love to use it as a cheek tint，it makes the cheeks look naturally blushed and glowy. All in all a product worth buying.,0,0,Recommends this product
blush,NUDESTIX,NUDESTIX Gel Color Lip + Cheek Balm,ramscone,Insider,Rookie,"['Eye Color Brown', 'Hair color Brunette', 'Skin Tone Olive', 'Skin Type Combination']",5 stars,15 Apr 2020,no,Color: J Mama,https://www.sephora.com/productimages/sku/s2228831+sw.jpg,Your lips but better!,"This product is exactly what I was looking for; lightweight, the perfect nude in comparison to my skin tone (I wear a 230 in maybelline fit me foundation and have yellow undertones). Literally looks like your lips but better. It doesn't stay on too well after eating though and I have yet to try it as a cheek balm.",2,0,Recommends this product
blush,NUDESTIX,NUDESTIX Gel Color Lip + Cheek Balm,ChrissyATX,Rouge,Rookie,"['Eye Color Green', 'Hair color Brunette', 'Skin Tone Fair', 'Skin Type Oily']",4 stars,28 Mar 2020,yes,,,magical lipstick!,"I’m a lipstick freak - I have probably 100 or more glosses, lipsticks, chapsticks, creams, stains, you name it! But girl, it stops here. I’m buying my THIRD one (I have never done that with any other brand). The Luxe color gives this beautiful pop of salmon pink - (but still slightly natural) that I cannot find anywhere else. It’s also not a gloss or lipstick or cream look - it’s so unique that you literally have to try it to see what I’m talking about. The case is big enough to also include a gloss over it if you want an extra BAM in the evenings. Does not dry and stays put more than most lipsticks.
…read more",8,2,Recommends this product
blush,NUDESTIX,NUDESTIX Gel Color Lip + Cheek Balm,MiraMira42,Insider,Rookie,"['Eye Color Hazel', 'Hair color Brunette', 'Skin Tone Fair', 'Skin Type Combination']",3 stars,27 Mar 2020,no,Color: J Mama,https://www.sephora.com/productimages/sku/s2228831+sw.jpg,"Well, it's not sticky...","...but it is waxy, and didn't feel very comfortable going on. I won't hold the color against it, since I did receive it as a sample, but I would have been disappointed by how much lighter it was than what appears on the website had I actually purchased it. That said, it blended very naturally into my cheeks, and provided a nice shine to the lips. I just don't think it's enough to warrant a full-size purchase.",1,2,
blush,NUDESTIX,NUDESTIX Gel Color Lip + Cheek Balm,MS99,Rouge,Rookie,"['Eye Color Blue', 'Hair color Black', 'Skin Tone Fair', 'Skin Type Combination']",3 stars,15 Mar 2020,no,Color: Rebel,https://www.sephora.com/productimages/sku/s1826023+sw.jpg,Good Cheek/Lip Tint,"I love the color on both my cheeks and lips which is a huge bonus as I have purchased many that only look good on cheeks but not lips! Only complaint is because it comes as pencil, it is easy for lip application but not so much on the cheeks. I end of having to ""draw"" the color onto my finger and then apply because if I apply directly onto my cheek the resulting line is hard to blend.",1,0,Recommends this product
blush,NUDESTIX,NUDESTIX Gel Color Lip + Cheek Balm,cheyhoffman,Insider,Rookie,"['Eye Color Green', 'Hair color Brunette', 'Skin Tone Fair', 'Skin Type Combination']",5 stars,14 Mar 2020,yes,Color: Wicked,https://www.sephora.com/productimages/sku/s1826015+sw.jpg,Beautiful!,"Beautiful. Has a wonderful, balmy texture and wares off evenly. Beautiful, healthy glow to both the lips and cheeks! Sheer look so it’s easy to use on cheeks as well. Only thing I will say is this shade leans slightly more fuschia than plum red :)",3,0,Recommends this product
blush,NUDESTIX,NUDESTIX Gel Color Lip + Cheek Balm,bmadeup,Insider,Rookie,"['Age 45-54', 'Eye Color Hazel', 'Hair color Brunette', 'Skin Tone Light', 'Skin Type Dry']",5 stars,13 Feb 2020,yes,Color: J Mama,https://www.sephora.com/productimages/sku/s2228831+sw.jpg,great universal color and silky formula,"I got a free sample on promotion and loved it , so I ordered a full size. This color would look good on all skin tones and its great to mix with any darker lipstick to soften the color. I think its a waste that they ship a sharpener and case with each one. Standard sharpeners do not work on these pencils:(",1,1,Recommends this product
blush,NUDESTIX,NUDESTIX Gel Color Lip + Cheek Balm,lauramariecat,VIB,Rookie,"['Eye Color Brown', 'Hair color Brunette', 'Skin Tone Porcelain', 'Skin Type Oily']",5 stars,29 Jan 2020,no,Color: Pulse,https://www.sephora.com/productimages/sku/s1825975+sw.jpg,"Natural Beauty, Perfect Consistency","I love the gel finish of this lip color. It's as solid as a lipstick but so smooth and natural-looking. Not as goopy or shiny as a gloss, but not chalky, patchy, or clumpy as more matte formulas can sometimes be. Very foolproof to apply. Lasts as well as a standard lipstick, in my experience (will transfer a little to cups and tissues, etc. but I only need to reapply after eating). Has no taste or smell. Mildly moisturizing though not quite a balm.
…read more",7,0,Recommends this product
blush,NUDESTIX,NUDESTIX Gel Color Lip + Cheek Balm,JuPer,VIB,Rookie,"['Eye Color Hazel', 'Hair color Brunette', 'Skin Tone Medium', 'Skin Type Normal']",3 stars,18 Jan 2020,yes,Color: Wicked,https://www.sephora.com/productimages/sku/s1826015+sw.jpg,Easy application but no staying power,"The colour is great and the application is easy and doesn’t require a lip liner or primer, but this lipstick has NO staying power. I had to reapply frequently even before lunch. Haven’t tried it as a cheek colour as it’s a little dark, but I don’t think I’ll be purchasing nudestix as a lip colour again.",1,0,
blush,NUDESTIX,NUDESTIX Gel Color Lip + Cheek Balm,wonderwoman84,Rouge,Rookie,"['Eye Color Green', 'Hair color Brunette', 'Skin Tone Medium', 'Skin Type Dry']",5 stars,16 Jan 2020,no,Color: Tay Tay,https://www.sephora.com/productimages/sku/s2228849+sw.jpg,Lipstick/gloss in one!,"Bought this in Tay Tay as I wanted a quick everyday nude that looked like I put on a lipstick and a gloss in one. This nailed it! Great shade, super flattering, easy to apply and lasts. I throw this in my bag and I use as a lipstick/gloss (it legit looks like you’ve put on both) as well as a touch up dewy blush. Going to buy more shades!",1,0,Recommends this product
