product_category,brand,product_name,user_id,BIP_level,BIC_level,user_specs,rating,review_date,verified,review_color,review_color_img,review_title,review_content,no_helpful,no_not_helpful,recommendation
blush,ARMANI BEAUTY,Armani Beauty A-Line Liquid Blush,kripkeslave,Rouge,Rookie,"['Eye Color Blue', 'Hair color Brunette', 'Skin Tone Light', 'Skin Type Dry']",2 stars,29 Apr 2020,yes,Color: 31,https://www.sephora.com/productimages/sku/s2307817+sw.jpg,,Very little comes out when you dip and pull the applicator brush. II didn’t read any reviews and so I initially wondered if I had received a flawed product. It is very pretty but is translucent upon application. I would only recommend this for someone who wants a barely-there no makeup look.,7,1,
blush,ARMANI BEAUTY,Armani Beauty A-Line Liquid Blush,Blurred2291,Rouge,Rookie,"['Age 25-34', 'Eye Color Green', 'Hair color Brunette', 'Skin Tone Porcelain', 'Skin Type Dry']",5 stars,29 Apr 2020,no,Color: 50,https://www.sephora.com/productimages/sku/s2079499+sw.jpg,,"I absolutely adore this blush. It has quickly become my favorite cheek product. I have been using it for about 7 months now, and it is all I ever want to use. It is super easy to blend out, it does not pick up the foundation or bronzer under it, and it lasts an extremely long time on my skin. It is also worth noting that the size of the product and the applicator make it super easy for touch ups on the go, which is great for people like me that do their makeup on the way into the office in the morning. Highly recommend!!
…read more",3,0,Recommends this product
blush,ARMANI BEAUTY,Armani Beauty A-Line Liquid Blush,JenLikesMakeup,VIB,Rookie,"['Eye Color Brown', 'Hair color Brunette', 'Skin Tone Fair', 'Skin Type Dry']",5 stars,22 Feb 2020,yes,Color: 31,https://www.sephora.com/productimages/sku/s2307817+sw.jpg,My Favorite Blushes,"For me they are long lasting. The product is sheer but buildable, without changing texture of base. It’s very easy to apply, as in it’s hard to accidentally put on too much. If newer to makeup or issue of going heavy handed I think would be good start.",5,1,Recommends this product
blush,ARMANI BEAUTY,Armani Beauty A-Line Liquid Blush,lilchef,Rouge,Rookie,"['Age 45-54', 'Eye Color Green', 'Hair color Red', 'Skin Tone Light', 'Skin Type Dry']",5 stars,12 Feb 2020,no,Color: 31,https://www.sephora.com/productimages/sku/s2307817+sw.jpg,LOVE it!,"Love, love, love this blush! So natural looking!!!",4,0,Recommends this product
blush,ARMANI BEAUTY,Armani Beauty A-Line Liquid Blush,RaeSheG,Rouge,Rookie,"['Eye Color Blue', 'Hair color Blonde', 'Skin Tone Fair', 'Skin Type Combination']",5 stars,29 Jan 2020,no,Color: 50,https://www.sephora.com/productimages/sku/s2079499+sw.jpg,,I LOVE this blush so much. It has staying power and the color is beautiful and buildable. The only weird thing is the applicator because it’s hard to get much product on it but since it’s buildable maybe that’s why.,6,0,Recommends this product
blush,ARMANI BEAUTY,Armani Beauty A-Line Liquid Blush,luluxoxo,Rouge,Rookie,"['Eye Color Brown', 'Hair color Gray', 'Skin Tone Fair', 'Skin Type Dry']",4 stars,18 Jan 2020,yes,Color: 50,https://www.sephora.com/productimages/sku/s2079499+sw.jpg,Very Pretty Color,"I haven't had the chance to wear this one however, it is a very pretty color. The consistency is very liquid but I believe it will be easy to work with.",1,19,Recommends this product
blush,ARMANI BEAUTY,Armani Beauty A-Line Liquid Blush,skincarewiz,Rouge,Rookie,"['Eye Color Brown', 'Hair color Brunette', 'Skin Tone Light', 'Skin Type Combination']",2 stars,18 Jan 2020,yes,Color: 50,https://www.sephora.com/productimages/sku/s2079499+sw.jpg,Just ok blush,The packaging is not good. Very little blush is coming out. The color is barely noticeable on the cheeks. There are better options on the market. I returned it.,4,0,
blush,ARMANI BEAUTY,Armani Beauty A-Line Liquid Blush,bronteh,Rouge,Rookie,"['Eye Color Blue', 'Hair color Blonde', 'Skin Tone Light', 'Skin Type Dry']",4 stars,12 Nov 2019,yes,Color: 50,https://www.sephora.com/productimages/sku/s2079499+sw.jpg,Adequate Substitute,"It’s not Benefit’s Posy Blush which is inexplicably no longer produced, but it is an adequate sub. Sheer easily blended over moisturizer, or preferably, a Josie Maran oil. Tiny quantity for price, unfortunately. Maybe Posie Tint will return. It was fab! But this will work for now.",4,0,Recommends this product
blush,ARMANI BEAUTY,Armani Beauty A-Line Liquid Blush,StellaR0se,Rouge,Rookie,"['Eye Color Brown', 'Hair color Brunette', 'Skin Tone Porcelain', 'Skin Type Oily']",1 star,5 Nov 2019,yes,Color: 32,https://www.sephora.com/productimages/sku/s2307791+sw.jpg,Terrible product in this color but great in others,"I love, love these liquid blushes. However, this specific new shade (32 - brown) is seriously lacking. I own just about all the other shades. They go on like watercolor and leave a lovely (buildable) flush that lasts for hours. This shade does not. It took me 3 times the usual amount to show on my pale skin, and it did not last. Also, it's not ""brown"" at all. It's brick red.",11,2,
blush,ARMANI BEAUTY,Armani Beauty A-Line Liquid Blush,liatsonia,VIB,Rookie,"['Eye Color Brown', 'Hair color Brunette', 'Skin Tone Light', 'Skin Type Combination']",4 stars,27 Oct 2019,no,Color: 53,https://www.sephora.com/productimages/sku/s2079515+sw.jpg,pretty,I like it so far and it’s exactly what I was looking for. Price could be cheaper but that’s what I get for the name that’s attached. That said; worth it.,0,0,Recommends this product
